iter	Passed	Remaining
0	187	187402
1	199	99492
2	209	69458
3	220	54782
4	229	45644
5	239	39747
6	250	35593
7	260	32310
8	270	29821
9	281	27890
10	290	26157
11	301	24819
12	313	23833
13	324	22848
14	336	22081
15	348	21436
16	358	20704
17	369	20156
18	381	19673
19	390	19144
20	401	18734
21	414	18430
22	427	18165
23	437	17803
24	448	17503
25	460	17265
26	471	16980
27	482	16734
28	493	16523
29	503	16278
30	514	16073
31	524	15879
32	536	15725
33	548	15590
34	560	15465
35	571	15298
36	583	15180
37	594	15058
38	605	14922
39	617	14830
40	630	14746
41	642	14665
42	654	14561
43	666	14479
44	678	14405
45	692	14359
46	704	14275
47	715	14193
48	728	14142
49	744	14136
50	757	14089
51	770	14052
52	783	14001
53	799	14001
54	815	14019
55	832	14026
56	847	14017
57	864	14035
58	880	14043
59	896	14039
60	911	14038
61	926	14022
62	940	13990
63	956	13993
64	973	13997
65	994	14073
66	1020	14207
67	1045	14322
68	1065	14376
69	1087	14448
70	1105	14465
71	1151	14838
72	1184	15045
73	1225	15330
74	1241	15306
75	1271	15453
76	1285	15412
77	1294	15303
78	1307	15242
79	1321	15196
80	1334	15146
81	1344	15053
82	1355	14978
83	1368	14922
84	1382	14885
85	1392	14801
86	1403	14724
87	1415	14673
88	1427	14612
89	1437	14536
90	1450	14488
91	1462	14431
92	1472	14359
93	1484	14308
94	1496	14255
95	1504	14171
96	1519	14145
97	1532	14108
98	1544	14058
99	1553	13978
100	1564	13929
101	1575	13874
102	1584	13796
103	1594	13736
104	1602	13659
105	1612	13601
106	1621	13536
107	1631	13471
108	1641	13418
109	1649	13348
110	1661	13306
111	1674	13276
112	1684	13225
113	1697	13189
114	1709	13158
115	1724	13142
116	1736	13104
117	1747	13062
118	1760	13032
119	1772	13001
120	1784	12961
121	1796	12928
122	1809	12900
123	1821	12870
124	1830	12811
125	1842	12778
126	1853	12738
127	1864	12703
128	1877	12674
129	1889	12646
130	1899	12603
131	1908	12552
